extractor ,key_points       ,feature_extract_time (e-04) ,extract_mean_time (e-06) ,matcher ,matches ,feature_match_time (e-04) ,match_mean_time (e-06) ,rmse_homography ,images                                                             ,error
brisk     ,"[325, 470]"     ,"[3995.0, 1951.0]"          ,"[1229.0, 415.0]"        ,knn     ,    127 ,                    240.0 ,                 189.0 ,          45.03 ,"['images/FAD I/imagem_005.png', 'images/FAD I/imagem_004.png']"   ,False
brisk     ,"[325, 470]"     ,"[2020.0, 2551.0]"          ,"[621.0, 543.0]"         ,bf      ,    156 ,                    301.0 ,                 193.0 ,         145.77 ,"['images/FAD I/imagem_005.png', 'images/FAD I/imagem_004.png']"   ,False
orb       ,"[1220, 1315]"   ,"[2240.0, 1542.0]"          ,"[184.0, 117.0]"         ,knn     ,    409 ,                   2412.0 ,                 590.0 ,          58.85 ,"['images/FAD I/imagem_005.png', 'images/FAD I/imagem_004.png']"   ,False
orb       ,"[1220, 1315]"   ,"[1698.0, 2482.0]"          ,"[139.0, 189.0]"         ,bf      ,    565 ,                   4891.0 ,                 866.0 ,         134.69 ,"['images/FAD I/imagem_005.png', 'images/FAD I/imagem_004.png']"   ,False
sift      ,"[451, 398]"     ,"[31777.0, 20900.0]"        ,"[7046.0, 5251.0]"       ,knn     ,    152 ,                    199.0 ,                 131.0 ,          58.64 ,"['images/FAD I/imagem_005.png', 'images/FAD I/imagem_004.png']"   ,False
sift      ,"[451, 398]"     ,"[21546.0, 21193.0]"        ,"[4777.0, 5325.0]"       ,bf      ,    210 ,                    301.0 ,                 144.0 ,         154.21 ,"['images/FAD I/imagem_005.png', 'images/FAD I/imagem_004.png']"   ,False
surf      ,"[1162, 1117]"   ,"[12394.0, 12302.0]"        ,"[1067.0, 1101.0]"       ,knn     ,    398 ,                    656.0 ,                 165.0 ,          94.25 ,"['images/FAD I/imagem_005.png', 'images/FAD I/imagem_004.png']"   ,False
surf      ,"[1162, 1117]"   ,"[12615.0, 12180.0]"        ,"[1086.0, 1090.0]"       ,bf      ,    475 ,                   1126.0 ,                 237.0 ,         157.15 ,"['images/FAD I/imagem_005.png', 'images/FAD I/imagem_004.png']"   ,False

brisk     ,"[2834, 1468]"   ,"[5455.0, 2865.0]"          ,"[192.0, 195.0]"         ,knn     ,    535 ,                   3126.0 ,                 584.0 ,          68.65 ,"['images/FAD I/imagem_035.png', 'images/FAD I/imagem_034.png']"   ,False
brisk     ,"[2834, 1468]"   ,"[5024.0, 3095.0]"          ,"[177.0, 211.0]"         ,bf      ,    769 ,                   5438.0 ,                 707.0 ,         181.09 ,"['images/FAD I/imagem_035.png', 'images/FAD I/imagem_034.png']"   ,False
orb       ,"[4933, 4088]"   ,"[2629.0, 2180.0]"          ,"[53.0, 53.0]"           ,knn     ,    839 ,                  10548.0 ,                1257.0 ,          66.72 ,"['images/FAD I/imagem_035.png', 'images/FAD I/imagem_034.png']"   ,False
orb       ,"[4933, 4088]"   ,"[2657.0, 2116.0]"          ,"[54.0, 52.0]"           ,bf      ,   1464 ,                  22134.0 ,                1512.0 ,         177.32 ,"['images/FAD I/imagem_035.png', 'images/FAD I/imagem_034.png']"   ,False
sift      ,"[3340, 1860]"   ,"[23224.0, 16997.0]"        ,"[695.0, 914.0]"         ,knn     ,    795 ,                   4934.0 ,                 621.0 ,          76.24 ,"['images/FAD I/imagem_035.png', 'images/FAD I/imagem_034.png']"   ,False
sift      ,"[3340, 1860]"   ,"[23100.0, 18229.0]"        ,"[692.0, 980.0]"         ,bf      ,   1068 ,                   9551.0 ,                 894.0 ,         153.99 ,"['images/FAD I/imagem_035.png', 'images/FAD I/imagem_034.png']"   ,False
surf      ,"[6380, 4440]"   ,"[38541.0, 28846.0]"        ,"[604.0, 650.0]"         ,knn     ,   1705 ,                  13356.0 ,                 783.0 ,          79.58 ,"['images/FAD I/imagem_035.png', 'images/FAD I/imagem_034.png']"   ,False
surf      ,"[6380, 4440]"   ,"[40050.0, 28950.0]"        ,"[628.0, 652.0]"         ,bf      ,   2186 ,                  26744.0 ,                1223.0 ,         161.49 ,"['images/FAD I/imagem_035.png', 'images/FAD I/imagem_034.png']"   ,False

brisk     ,"[806, 3094]"    ,"[2117.0, 5370.0]"          ,"[263.0, 174.0]"         ,knn     ,    433 ,                   1625.0 ,                 375.0 ,         107.58 ,"['images/FAD I/imagem_044.png', 'images/FAD I/imagem_043.png']"   ,False
brisk     ,"[806, 3094]"    ,"[2068.0, 5494.0]"          ,"[257.0, 178.0]"         ,bf      ,    536 ,                   3227.0 ,                 602.0 ,         143.49 ,"['images/FAD I/imagem_044.png', 'images/FAD I/imagem_043.png']"   ,False
orb       ,"[1954, 4987]"   ,"[1491.0, 2598.0]"          ,"[76.0, 52.0]"           ,knn     ,    567 ,                   5373.0 ,                 948.0 ,         101.37 ,"['images/FAD I/imagem_044.png', 'images/FAD I/imagem_043.png']"   ,False
orb       ,"[1954, 4987]"   ,"[1486.0, 2488.0]"          ,"[76.0, 50.0]"           ,bf      ,    935 ,                  10351.0 ,                1107.0 ,         162.44 ,"['images/FAD I/imagem_044.png', 'images/FAD I/imagem_043.png']"   ,False
sift      ,"[770, 1833]"    ,"[18408.0, 17790.0]"        ,"[2391.0, 971.0]"        ,knn     ,    301 ,                   1244.0 ,                 413.0 ,         131.04 ,"['images/FAD I/imagem_044.png', 'images/FAD I/imagem_043.png']"   ,False
sift      ,"[770, 1833]"    ,"[19911.0, 22729.0]"        ,"[2586.0, 1240.0]"       ,bf      ,    493 ,                   2129.0 ,                 432.0 ,         198.8  ,"['images/FAD I/imagem_044.png', 'images/FAD I/imagem_043.png']"   ,False
surf      ,"[1906, 3642]"   ,"[19438.0, 31354.0]"        ,"[1020.0, 861.0]"        ,knn     ,    582 ,                   3129.0 ,                 538.0 ,         130.94 ,"['images/FAD I/imagem_044.png', 'images/FAD I/imagem_043.png']"   ,False
surf      ,"[1906, 3642]"   ,"[20666.0, 32454.0]"        ,"[1084.0, 891.0]"        ,bf      ,    916 ,                   6318.0 ,                 690.0 ,         236.33 ,"['images/FAD I/imagem_044.png', 'images/FAD I/imagem_043.png']"   ,False

brisk     ,"[3747, 2813]"   ,"[6482.0, 5012.0]"          ,"[173.0, 178.0]"         ,knn     ,   1183 ,                   7211.0 ,                 610.0 ,          36.98 ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False
brisk     ,"[3747, 2813]"   ,"[6002.0, 4593.0]"          ,"[160.0, 163.0]"         ,bf      ,   1414 ,                  13501.0 ,                 955.0 ,          98.66 ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False
orb       ,"[4874, 4964]"   ,"[2457.0, 2441.0]"          ,"[50.0, 49.0]"           ,knn     ,   2112 ,                  13278.0 ,                 629.0 ,          35.16 ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False
orb       ,"[4874, 4964]"   ,"[2882.0, 2394.0]"          ,"[59.0, 48.0]"           ,bf      ,   2538 ,                  27248.0 ,                1074.0 ,          67.59 ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False
sift      ,"[3296, 1960]"   ,"[22505.0, 17405.0]"        ,"[683.0, 888.0]"         ,knn     ,    776 ,                   5359.0 ,                 691.0 ,          52.85 ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False
sift      ,"[3296, 1960]"   ,"[22857.0, 17027.0]"        ,"[693.0, 869.0]"         ,bf      ,   1074 ,                   9885.0 ,                 920.0 ,         157.98 ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False
surf      ,"[6329, 4105]"   ,"[42584.0, 35108.0]"        ,"[673.0, 855.0]"         ,knn     ,   1799 ,                  12371.0 ,                 688.0 ,          57.1  ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False
