extractor ,key_points       ,feature_extract_time ,matching ,matches ,feature_matching_time ,rmse_homography ,images                                                             ,error
brisk     ,"[29259, 37205]" ,"[0.8927, 0.7508]"   ,knn      ,    109 ,               8.9773 ,         364.42 ,"['images/reduce/casa2.png', 'images/reduce/casa1.png']"           ,False
brisk     ,"[29259, 37205]" ,"[0.809, 0.9934]"    ,bf       ,   7334 ,              21.068  ,        1153.59 ,"['images/reduce/casa2.png', 'images/reduce/casa1.png']"           ,True
orb       ,"[500, 500]"     ,"[0.0695, 0.0671]"   ,knn      ,      5 ,               0.0029 ,                ,"['images/reduce/casa2.png', 'images/reduce/casa1.png']"           ,True
orb       ,"[500, 500]"     ,"[0.0726, 0.0557]"   ,bf       ,    159 ,               0.0118 ,         663.51 ,"['images/reduce/casa2.png', 'images/reduce/casa1.png']"           ,True
sift      ,"[5972, 9541]"   ,"[1.1843, 0.7686]"   ,knn      ,     89 ,               0.8393 ,         472.53 ,"['images/reduce/casa2.png', 'images/reduce/casa1.png']"           ,False
sift      ,"[5972, 9541]"   ,"[0.4127, 0.4262]"   ,bf       ,   2081 ,               1.2387 ,        3035.11 ,"['images/reduce/casa2.png', 'images/reduce/casa1.png']"           ,False
surf      ,"[16390, 15881]" ,"[1.157, 1.3347]"    ,knn      ,    280 ,               1.8834 ,         948.49 ,"['images/reduce/casa2.png', 'images/reduce/casa1.png']"           ,True
surf      ,"[16390, 15881]" ,"[1.2683, 1.5468]"   ,bf       ,   3740 ,               4.1536 ,         453.57 ,"['images/reduce/casa2.png', 'images/reduce/casa1.png']"           ,True

brisk     ,"[325, 470]"     ,"[0.024, 0.0199]"    ,knn      ,    127 ,               0.0016 ,          45.03 ,"['images/FAD I/imagem_005.png', 'images/FAD I/imagem_004.png']"   ,False
brisk     ,"[325, 470]"     ,"[0.0147, 0.0158]"   ,bf       ,    156 ,               0.0025 ,         145.77 ,"['images/FAD I/imagem_005.png', 'images/FAD I/imagem_004.png']"   ,False
orb       ,"[500, 500]"     ,"[0.012, 0.0133]"    ,knn      ,    181 ,               0.002  ,          64.78 ,"['images/FAD I/imagem_005.png', 'images/FAD I/imagem_004.png']"   ,False
orb       ,"[500, 500]"     ,"[0.0146, 0.0165]"   ,bf       ,    228 ,               0.0052 ,         115.68 ,"['images/FAD I/imagem_005.png', 'images/FAD I/imagem_004.png']"   ,False
sift      ,"[451, 398]"     ,"[0.2594, 0.2506]"   ,knn      ,    152 ,               0.0033 ,          58.64 ,"['images/FAD I/imagem_005.png', 'images/FAD I/imagem_004.png']"   ,False
sift      ,"[451, 398]"     ,"[0.2872, 0.2244]"   ,bf       ,    210 ,               0.006  ,         154.21 ,"['images/FAD I/imagem_005.png', 'images/FAD I/imagem_004.png']"   ,False
surf      ,"[1162, 1117]"   ,"[0.1969, 0.1858]"   ,knn      ,    398 ,               0.0136 ,          94.25 ,"['images/FAD I/imagem_005.png', 'images/FAD I/imagem_004.png']"   ,False
surf      ,"[1162, 1117]"   ,"[0.1652, 0.1645]"   ,bf       ,    475 ,               0.02   ,         157.15 ,"['images/FAD I/imagem_005.png', 'images/FAD I/imagem_004.png']"   ,False

brisk     ,"[2834, 1468]"   ,"[0.0569, 0.0411]"   ,knn      ,    535 ,               0.0291 ,          68.65 ,"['images/FAD I/imagem_035.png', 'images/FAD I/imagem_034.png']"   ,False
brisk     ,"[2834, 1468]"   ,"[0.0586, 0.0402]"   ,bf       ,    769 ,               0.0608 ,         181.09 ,"['images/FAD I/imagem_035.png', 'images/FAD I/imagem_034.png']"   ,False
orb       ,"[500, 500]"     ,"[0.0198, 0.0132]"   ,knn      ,     62 ,               0.0035 ,          66.03 ,"['images/FAD I/imagem_035.png', 'images/FAD I/imagem_034.png']"   ,False
orb       ,"[500, 500]"     ,"[0.0164, 0.0145]"   ,bf       ,    138 ,               0.0037 ,         305.28 ,"['images/FAD I/imagem_035.png', 'images/FAD I/imagem_034.png']"   ,False
sift      ,"[3340, 1860]"   ,"[0.2712, 0.209]"    ,knn      ,    795 ,               0.06   ,          76.24 ,"['images/FAD I/imagem_035.png', 'images/FAD I/imagem_034.png']"   ,False
sift      ,"[3340, 1860]"   ,"[0.2776, 0.1966]"   ,bf       ,   1068 ,               0.1169 ,         153.99 ,"['images/FAD I/imagem_035.png', 'images/FAD I/imagem_034.png']"   ,False
surf      ,"[6380, 4440]"   ,"[0.3929, 0.6481]"   ,knn      ,   1705 ,               0.2463 ,          79.58 ,"['images/FAD I/imagem_035.png', 'images/FAD I/imagem_034.png']"   ,False
surf      ,"[6380, 4440]"   ,"[0.5249, 0.4298]"   ,bf       ,   2186 ,               0.5454 ,         161.49 ,"['images/FAD I/imagem_035.png', 'images/FAD I/imagem_034.png']"   ,False

brisk     ,"[806, 3094]"    ,"[0.0363, 0.0928]"   ,knn      ,    433 ,               0.0572 ,         107.58 ,"['images/FAD I/imagem_044.png', 'images/FAD I/imagem_043.png']"   ,False
brisk     ,"[806, 3094]"    ,"[0.0296, 0.0689]"   ,bf       ,    536 ,               0.0385 ,         143.49 ,"['images/FAD I/imagem_044.png', 'images/FAD I/imagem_043.png']"   ,False
orb       ,"[500, 500]"     ,"[0.0174, 0.0165]"   ,knn      ,     89 ,               0.0021 ,         120.09 ,"['images/FAD I/imagem_044.png', 'images/FAD I/imagem_043.png']"   ,False
orb       ,"[500, 500]"     ,"[0.0141, 0.0166]"   ,bf       ,    146 ,               0.0031 ,         325.03 ,"['images/FAD I/imagem_044.png', 'images/FAD I/imagem_043.png']"   ,False
sift      ,"[770, 1833]"    ,"[0.2813, 0.2491]"   ,knn      ,    301 ,               0.014  ,         131.04 ,"['images/FAD I/imagem_044.png', 'images/FAD I/imagem_043.png']"   ,False
sift      ,"[770, 1833]"    ,"[0.3041, 0.2966]"   ,bf       ,    493 ,               0.0383 ,         198.8  ,"['images/FAD I/imagem_044.png', 'images/FAD I/imagem_043.png']"   ,False
surf      ,"[1906, 3642]"   ,"[0.4006, 0.4095]"   ,knn      ,    582 ,               0.0589 ,         130.94 ,"['images/FAD I/imagem_044.png', 'images/FAD I/imagem_043.png']"   ,False
surf      ,"[1906, 3642]"   ,"[0.362, 0.7353]"    ,bf       ,    916 ,               0.1562 ,         236.33 ,"['images/FAD I/imagem_044.png', 'images/FAD I/imagem_043.png']"   ,False

brisk     ,"[3747, 2813]"   ,"[0.1008, 0.0714]"   ,knn      ,   1183 ,               0.1884 ,          36.98 ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False
brisk     ,"[3747, 2813]"   ,"[0.1167, 0.0806]"   ,bf       ,   1414 ,               0.2962 ,          98.66 ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False
orb       ,"[500, 500]"     ,"[0.0272, 0.021]"    ,knn      ,    294 ,               0.0044 ,          27.29 ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False
orb       ,"[500, 500]"     ,"[0.0255, 0.0204]"   ,bf       ,    296 ,               0.0065 ,          29.54 ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False
sift      ,"[3296, 1960]"   ,"[0.3531, 0.308]"    ,knn      ,    776 ,               0.0836 ,          52.85 ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False
